"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE0236","GENE0236_HUMAN","P56309","Protein GENE0236",0.2045,0.557787,0.217222,0.3935,0.6631,3,6,FALSE,FALSE,FALSE
"GENE0822","GENE0822_HUMAN","P91646","Protein GENE0822",0.0981,1,0.936491,0,0.0285,4,3,FALSE,FALSE,FALSE
"GENE0118","GENE0118_HUMAN","P04679","Protein GENE0118",-0.0208,1,0.754129,0,0.1226,2,2,FALSE,FALSE,FALSE
"GENE2508","GENE2508_HUMAN","P98299","Protein GENE2508",0.1929,1,0.796153,0,0.099,6,6,FALSE,FALSE,FALSE
"GENE0918","GENE0918_HUMAN","P51887","Protein GENE0918",-0.0189,0.819073,0.261875,0.4808,0.5819,5,4,FALSE,FALSE,FALSE
"GENE1045","GENE1045_HUMAN","P60984","Protein GENE1045",0.213,1,0.700742,0.1116,0.1544,6,3,TRUE,TRUE,FALSE
"GENE2689","GENE2689_HUMAN","P82375","Protein GENE2689",0.9477,1,0.283886,0.263,0.5469,3,2,FALSE,FALSE,FALSE
"GENE1842","GENE1842_HUMAN","P50051","Protein GENE1842",-0.0195,1,0.612043,0,0.2132,5,2,FALSE,FALSE,FALSE
"GENE2038","GENE2038_HUMAN","P05249","Protein GENE2038",-0.5397,1,0.384892,0,0.4147,3,5,FALSE,FALSE,FALSE
"GENE2420","GENE2420_HUMAN","P84960","Protein GENE2420",0.5714,0.855812,0.724193,0.0113,0.1401,4,4,FALSE,FALSE,FALSE
"GENE0565","GENE0565_HUMAN","P22275","Protein GENE0565",-0.4744,1,0.93044,0,0.0313,3,2,FALSE,FALSE,FALSE
"GENE2764","GENE2764_HUMAN","P49579","Protein GENE2764",0.1118,1,0.980774,0,0.0084,6,5,FALSE,FALSE,FALSE
"GENE2561","GENE2561_HUMAN","P98765","Protein GENE2561",-0.1078,1,0.850771,0,0.0702,2,3,FALSE,FALSE,FALSE
"GENE2172","GENE2172_HUMAN","P44876","Protein GENE2172",-0.2934,0.699807,0.433447,0,0.3631,4,6,FALSE,FALSE,FALSE
"GENE0048","GENE0048_HUMAN","P57020","Protein GENE0048",-0.4118,0.479097,0.45526,0.121,0.3417,2,3,FALSE,FALSE,FALSE
"GENE0083","GENE0083_HUMAN","P61947","Protein GENE0083",-0.1412,1,0.237037,0.1753,0.6252,5,3,FALSE,FALSE,FALSE
"GENE0300","GENE0300_HUMAN","P65549","Protein GENE0300",0.1691,1,0.518643,0,0.2851,2,3,FALSE,FALSE,FALSE
"GENE0168","GENE0168_HUMAN","P15735","Protein GENE0168",-0.0442,0.786413,0.194365,0.4987,0.7114,2,3,FALSE,FALSE,FALSE
