"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2433","GENE2433_HUMAN","P72894","Protein GENE2433",0.085,0.893978,0.196095,0.7069,0.7075,3,5,FALSE,FALSE,FALSE
"GENE2140","GENE2140_HUMAN","P81753","Protein GENE2140",0.4614,1,0.962022,0,0.0168,3,3,FALSE,FALSE,FALSE
"GENE1881","GENE1881_HUMAN","P66653","Protein GENE1881",-0.3839,1,0.958998,0,0.0182,3,6,FALSE,FALSE,FALSE
"GENE1130","GENE1130_HUMAN","P94475","Protein GENE1130",-0.345,1,0.72919,0,0.1372,5,2,FALSE,FALSE,FALSE
"GENE0893","GENE0893_HUMAN","P30221","Protein GENE0893",-0.2791,0.877728,0.558152,0,0.2532,3,6,TRUE,FALSE,FALSE
"GENE0324","GENE0324_HUMAN","P50337","Protein GENE0324",-0.2951,1,0.563731,0.1304,0.2489,4,4,FALSE,FALSE,FALSE
"GENE0849","GENE0849_HUMAN","P24295","Protein GENE0849",0.4226,1,0.530876,0,0.275,5,5,FALSE,TRUE,FALSE
"GENE0204","GENE0204_HUMAN","P06258","Protein GENE0204",-0.8644,0.524152,0.194547,0.1886,0.711,2,2,FALSE,FALSE,FALSE
"GENE2349","GENE2349_HUMAN","P49508","Protein GENE2349",4.1715,0.020576,0.005708,1.7247,2.2435,2,6,FALSE,FALSE,TRUE
"GENE2128","GENE2128_HUMAN","P03361","Protein GENE2128",0.4647,1,0.738046,0,0.1319,3,5,FALSE,FALSE,FALSE
"GENE1858","GENE1858_HUMAN","P53687","Protein GENE1858",-0.5712,0.968143,0.798744,0,0.0976,3,4,FALSE,FALSE,FALSE
"GENE1064","GENE1064_HUMAN","P94517","Protein GENE1064",0.5381,1,0.996338,0,0.0016,2,3,FALSE,FALSE,FALSE
"GENE0957","GENE0957_HUMAN","P68519","Protein GENE0957",-0.5184,1,0.361984,0.0338,0.4413,6,6,FALSE,FALSE,FALSE
"GENE1657","GENE1657_HUMAN","P81529","Protein GENE1657",0.0747,1,0.678535,0,0.1684,2,3,FALSE,FALSE,FALSE
"GENE1332","GENE1332_HUMAN","P12410","Protein GENE1332",-0.5133,1,0.485486,0.2195,0.3138,5,2,FALSE,FALSE,FALSE
"GENE2412","GENE2412_HUMAN","P28416","Protein GENE2412",-0.0315,0.3322,0.165739,0.3307,0.7806,3,3,FALSE,FALSE,FALSE
"GENE0398","GENE0398_HUMAN","P89369","Protein GENE0398",-4.0057,0.05761,0.030968,1.2346,1.5091,3,4,TRUE,FALSE,TRUE
"GENE0001","GENE0001_HUMAN","P24227","Protein GENE0001",0.4741,1,0.899017,0,0.0462,2,3,FALSE,FALSE,FALSE
"GENE2212","GENE2212_HUMAN","P19737","Protein GENE2212",0.6118,0.631677,0.212114,0.1058,0.6734,3,6,FALSE,FALSE,FALSE
"GENE1823","GENE1823_HUMAN","P15089","Protein GENE1823",-0.4156,1,0.902303,0,0.0446,3,5,FALSE,FALSE,FALSE
"GENE0071","GENE0071_HUMAN","P27973","Protein GENE0071",2.6865,0.074112,0.02954,0.9046,1.5296,2,6,FALSE,FALSE,TRUE
"GENE0285","GENE0285_HUMAN","P93854","Protein GENE0285",3.3158,0.068123,0.019728,1.062,1.7049,6,3,FALSE,FALSE,TRUE
"GENE1894","GENE1894_HUMAN","P09045","Protein GENE1894",2.5522,0.059936,0.016236,1.4925,1.7895,3,5,FALSE,FALSE,TRUE
"GENE2355","GENE2355_HUMAN","P93052","Protein GENE2355",3.9533,0.040647,0.011007,1.5157,1.9583,4,2,FALSE,FALSE,TRUE
"GENE2708","GENE2708_HUMAN","P35217","Protein GENE2708",-0.2394,0.38142,0.202818,0.0645,0.6929,4,4,FALSE,FALSE,FALSE
"GENE1744","GENE1744_HUMAN","P80861","Protein GENE1744",0.0069,1,0.940398,0,0.0267,3,3,FALSE,FALSE,FALSE
"GENE0283","GENE0283_HUMAN","P36697","Protein GENE0283",0.2034,1,0.416073,0.0672,0.3808,6,3,FALSE,FALSE,FALSE
"GENE2729","GENE2729_HUMAN","P80351","Protein GENE2729",0.4863,0.451804,0.163256,0.4768,0.7871,5,3,FALSE,FALSE,FALSE
"GENE0563","GENE0563_HUMAN","P14548","Protein GENE0563",-0.0754,0.299744,0.097941,0.5205,1.009,2,5,FALSE,FALSE,FALSE
"GENE2275","GENE2275_HUMAN","P94904","Protein GENE2275",-0.4806,1,0.90839,0,0.0417,2,4,TRUE,FALSE,FALSE
"GENE1244","GENE1244_HUMAN","P90459","Protein GENE1244",-0.0068,0.885943,0.772993,0,0.1118,5,4,FALSE,TRUE,FALSE
"GENE0700","GENE0700_HUMAN","P91201","Protein GENE0700",0.1765,0.496423,0.176307,0.1553,0.7537,5,6,FALSE,TRUE,FALSE
"GENE2071","GENE2071_HUMAN","P57245","Protein GENE2071",0.2894,1,0.708559,0,0.1496,3,5,FALSE,FALSE,FALSE
"GENE0645","GENE0645_HUMAN","P65791","Protein GENE0645",-0.4216,1,0.744825,0,0.1279,5,5,FALSE,FALSE,FALSE
"GENE2383","GENE2383_HUMAN","P36165","Protein GENE2383",-0.2149,1,0.674479,0.0618,0.171,5,4,FALSE,FALSE,FALSE
"GENE1865","GENE1865_HUMAN","P19971","Protein GENE1865",-0.4303,1,0.383035,0.0694,0.4168,6,3,FALSE,FALSE,FALSE
"GENE2675","GENE2675_HUMAN","P41199","Protein GENE2675",0.9419,1,0.943308,0,0.0253,2,6,FALSE,FALSE,FALSE
"GENE0888","GENE0888_HUMAN","P05926","Protein GENE0888",0.8923,1,0.624236,0,0.2047,5,5,FALSE,FALSE,FALSE
"GENE2330","GENE2330_HUMAN","P84731","Protein GENE2330",-0.1986,1,0.939089,0,0.0273,2,4,FALSE,TRUE,FALSE
"GENE2712","GENE2712_HUMAN","P26726","Protein GENE2712",-0.8892,0.094295,0.037647,0.8157,1.4243,5,5,FALSE,FALSE,TRUE
"GENE1652","GENE1652_HUMAN","P54200","Protein GENE1652",-0.1138,0.361644,0.223975,0.593,0.6498,2,6,FALSE,FALSE,FALSE
"GENE0257","GENE0257_HUMAN","P34127","Protein GENE0257",0.113,1,0.435949,0.0683,0.3606,2,6,FALSE,FALSE,FALSE
"GENE1429","GENE1429_HUMAN","P81567","Protein GENE1429",-0.1586,0.360612,0.270421,0.1783,0.568,4,2,TRUE,FALSE,FALSE
"GENE2403","GENE2403_HUMAN","P90594","Protein GENE2403",2.1659,0.155395,0.048621,0.7517,1.3132,3,2,FALSE,FALSE,TRUE
"GENE2774","GENE2774_HUMAN","P41674","Protein GENE2774",-4.349,0.058065,0.026005,0.9152,1.585,6,6,FALSE,FALSE,TRUE
"GENE1831","GENE1831_HUMAN","P91456","Protein GENE1831",-3.6643,0.012328,0.003095,2.4539,2.5093,2,2,FALSE,FALSE,TRUE
"GENE0919","GENE0919_HUMAN","P53928","Protein GENE0919",-0.3005,0.281751,0.088783,0.495,1.0517,6,4,TRUE,FALSE,FALSE
"GENE1919","GENE1919_HUMAN","P05903","Protein GENE1919",0.0029,1,0.683208,0,0.1654,2,5,FALSE,FALSE,FALSE
"GENE1138","GENE1138_HUMAN","P10124","Protein GENE1138",2.7897,0.14448,0.041751,0.9506,1.3793,6,6,FALSE,FALSE,TRUE
"GENE0343","GENE0343_HUMAN","P98890","Protein GENE0343",3.7934,0.044153,0.043379,0.9949,1.3627,2,4,FALSE,FALSE,TRUE
