"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0080090","regulation of primary metabolic process",30,0.904785156460127,2.75920793400507,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=50%, list=2%, signal=50%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",26,0.912135931721826,2.69493745860767,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=50%, list=2%, signal=50%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/DDRGK1/NCOA1/WNK1/ASCC1/MED23"
"GO:0051252","regulation of RNA metabolic process",26,0.912135931721826,2.69493745860767,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=50%, list=2%, signal=50%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/DDRGK1/NCOA1/WNK1/ASCC1/MED23"
"GO:0009889","regulation of biosynthetic process",32,0.87334655268609,2.6927362037759,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=50%, list=4%, signal=48%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23/STK3"
"GO:0010468","regulation of gene expression",32,0.87334655268609,2.6927362037759,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=50%, list=4%, signal=48%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23/STK3"
"GO:0010556","regulation of macromolecule biosynthetic process",32,0.87334655268609,2.6927362037759,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=50%, list=4%, signal=48%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23/STK3"
"GO:0019222","regulation of metabolic process",32,0.87334655268609,2.6927362037759,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=50%, list=4%, signal=48%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23/STK3"
"GO:0060255","regulation of macromolecule metabolic process",32,0.87334655268609,2.6927362037759,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=50%, list=4%, signal=48%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/DDRGK1/NCOA1/ZNF598/WNK1/ASCC1/MED23/STK3"
"GO:0050789","regulation of biological process",39,0.843551792439007,2.67314642474269,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=46%, list=2%, signal=46%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/ANKRD28/DDRGK1/NEK9/NCOA1/ZNF598/NEK6/WNK1/ASCC1/MED23"
"GO:0050794","regulation of cellular process",39,0.843551792439007,2.67314642474269,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=46%, list=2%, signal=46%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/ANKRD28/DDRGK1/NEK9/NCOA1/ZNF598/NEK6/WNK1/ASCC1/MED23"
"GO:0065007","biological regulation",39,0.843551792439007,2.67314642474269,1e-10,3.60526315789474e-10,1.66204986149584e-11,55,"tags=46%, list=2%, signal=46%","EP300/ASCC2/FMR1/MED15/NCOA7/PABPC1/NCOA2/NCOA3/UFSP2/ANKRD28/DDRGK1/NEK9/NCOA1/ZNF598/NEK6/WNK1/ASCC1/MED23"
"GO:0071840","cellular component organization or biogenesis",29,0.876393793301647,2.64249377804404,1e-10,3.60526315789474e-10,1.66204986149584e-11,132,"tags=59%, list=4%, signal=57%","EP300/ASCC2/FMR1/ASCC3/MED15/NCOA3/UFSP2/ANKRD28/DHX30/DDRGK1/NEK9/NCOA1/ZNF598/NEK6/WNK1/MED23/STK3"
